date,city,category,temperature,humidity,sales,rating,note,constant
2024-01-01,서울,전자제품,2.1,45,1200000,4.5,신년 세일 시작,A
2024-01-02,부산,의류,5.3,52,850000,4.2,정상 영업,A
2024-01-03,서울,식품,1.8,48,920000,3.8,재고 부족 일부 품목,A
2024-01-04,대구,전자제품,-1.2,38,1100000,4.7,,A
2024-01-05,인천,의류,0.5,55,780000,4.0,주말 프로모션 예정,A
2024-01-06,서울,식품,3.4,50,1500000,4.3,,A
2024-01-07,부산,가구,7.2,60,650000,3.5,일요일 휴무 매장 다수,A
2024-01-08,대전,전자제품,2.8,42,1350000,4.8,신제품 출시일,A
2024-01-09,서울,의류,-0.3,47,890000,4.1,,A
2024-01-10,광주,식품,4.1,53,970000,3.9,지역 축제 영향,A
2024-01-11,서울,전자제품,1.5,44,1280000,4.6,,A
2024-01-12,부산,가구,6.8,58,720000,3.7,주말 매출 상승,A
2024-01-13,인천,의류,0.2,51,810000,4.4,,A
2024-01-14,서울,식품,2.9,46,950000,3.6,재입고 완료,A
2024-01-15,대구,전자제품,-2.5,35,1180000,4.9,한파 특수,A
2024-01-16,서울,의류,1.1,49,860000,4.0,,A
2024-01-17,부산,식품,8.3,62,1020000,3.8,,A
2024-01-18,대전,가구,3.7,41,580000,3.4,평일 저조,A
2024-01-19,서울,전자제품,0.8,43,1420000,4.7,주말 시작,A
2024-01-20,광주,의류,5.6,56,790000,4.2,,A
2024-01-21,서울,식품,2.3,47,1100000,4.1,일요일 가족 쇼핑,A
2024-01-22,부산,전자제품,9.1,65,1050000,4.3,,A
2024-01-23,인천,가구,-0.8,39,620000,3.6,,A
2024-01-24,서울,의류,1.4,50,880000,4.5,설 연휴 시작,A
2024-01-25,대구,식품,3.2,44,1350000,4.8,명절 특수,A
2024-01-26,서울,전자제품,0.6,48,1680000,4.9,설 선물 수요,A
2024-01-27,부산,의류,7.5,59,920000,4.0,,A
2024-01-28,대전,식품,4.8,54,1150000,3.7,설 당일,A
2024-01-29,서울,가구,1.9,46,450000,3.2,연휴 마무리,A
2024-01-30,광주,전자제품,5.2,51,980000,4.4,,A
2024-01-31,서울,의류,0.3,43,870000,4.1,1월 마감,A
2024-02-01,부산,식품,8.7,63,1030000,3.9,,A
2024-02-02,서울,전자제품,2.5,45,1290000,4.6,2월 시작,A
2024-02-03,대구,가구,-1.8,36,540000,3.3,,A
2024-02-04,인천,의류,1.7,50,820000,4.2,,A
2024-02-05,서울,식품,3.9,52,960000,3.8,입춘,A
2024-02-06,부산,전자제품,10.2,67,1150000,4.5,,A
2024-02-07,대전,의류,4.4,48,750000,4.0,,A
2024-02-08,서울,식품,1.2,44,1080000,4.3,,A
2024-02-09,광주,가구,6.1,57,680000,3.5,주말 가구 박람회,A
2024-02-10,서울,전자제품,0.1,42,1560000,4.8,주말 최고 매출,A
2024-02-11,부산,의류,9.5,64,910000,4.1,,A
2024-02-12,서울,식품,2.7,49,990000,3.7,,A
2024-02-13,대구,전자제품,-3.1,33,1220000,4.7,발렌타인 전날,A
2024-02-14,인천,의류,0.9,46,1450000,4.9,발렌타인데이 특수,A
2024-02-15,서울,식품,3.5,51,870000,3.6,,A
2024-02-16,부산,가구,7.8,61,710000,3.8,주말,A
2024-02-17,대전,전자제품,5.0,53,1080000,4.4,,A
2024-02-18,서울,의류,1.6,47,830000,4.0,,A
2024-02-19,광주,식품,4.7,55,940000,3.9,,A
2024-02-20,서울,전자제품,25.3,45,1300000,4.6,이상값: 기온 오류,A
2024-02-21,부산,의류,-15.0,52,860000,4.2,이상값: 기온 오류,A
2024-02-22,서울,식품,2.2,48,15000000,3.8,이상값: 매출 입력 오류,A
2024-02-23,대구,전자제품,1.3,200,1170000,4.5,이상값: 습도 센서 오류,A
2024-02-24,인천,가구,0.4,50,790000,,결측: 평점 누락,A
2024-02-25,서울,의류,3.1,,920000,4.1,결측: 습도 누락,A
2024-02-26,서울,식품,,46,1050000,3.7,결측: 기온 누락,A
2024-02-27,부산,전자제품,6.3,58,1190000,4.8,,A
2024-02-28,서울,의류,2.0,44,880000,4.3,2월 마감,A
2024-02-28,서울,의류,2.0,44,880000,4.3,2월 마감,A
